ligand,predicted_affinity,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000072108397.mol2,6.198434234,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028207362.mol2,6.197820902,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000007881274.mol2,6.191866398,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000007881273.mol2,6.191866398,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000008167302.mol2,6.188649535,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000047267022.mol2,6.179603338,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408581868.mol2,6.171281934,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004811634.mol2,6.167947054,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000091645915.mol2,6.166290641,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408581869.mol2,6.153406501,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000018079442.mol2,6.150982976,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028208310.mol2,6.14985466,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000022227429.mol2,6.133855581,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000107540100.mol2,6.132589579,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028207179.mol2,6.117398143,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000002961379.mol2,6.112501025,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408600762.mol2,6.103639007,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000003427413.mol2,6.100329757,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028207182.mol2,6.094897389,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000075144295.mol2,6.094490886,
