ZINC_ID,SMILES,Highest_Similarity,Similar_To_Query
"ZINC000216013664","[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C(=O)C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]",0.2000,"Darunavir"
"ZINC000585145908","[H]c1nc([H])c([H])c(C([H])([H])C([H])([H])C(=O)N([H])c2nc(C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])s2)c1[H]",0.2075,"Ritonavir"
"ZINC000007308188","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])[C@@]([H])(C([H])([H])[H])O[C@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2208,"Tipranavir"
"ZINC000007308187","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])[C@]([H])(C([H])([H])[H])O[C@@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2208,"Tipranavir"
"ZINC000012612554","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])[C@]([H])(C([H])([H])[H])O[C@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2208,"Tipranavir"
"ZINC000216013620","[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C(=O)C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2([H])OC([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]",0.2000,"Darunavir"
"ZINC000072008204","[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1N([H])C(=O)[C@]([H])(C([H])([H])[H])S(=O)(=O)C([H])(C([H])([H])[H])C([H])([H])[H]",0.2051,"Tipranavir"
"ZINC000158195877","[H]c1c([H])c(C2([H])C([H])([H])C([H])([H])N(C(=O)[C@@]([H])(C([H])([H])[H])[N+]([H])([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2024,"Tipranavir"
"ZINC000158195753","[H]c1c([H])c(C2([H])C([H])([H])C([H])([H])N(C(=O)[C@]([H])(C([H])([H])[H])[N+]([H])([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2024,"Tipranavir"
"ZINC000000074478","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])c1[H]",0.2000,"Tipranavir"
"ZINC000000464363","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c1[H]",0.2152,"Tipranavir"
"ZINC000000464362","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])C2([H])[H])c1[H]",0.2152,"Tipranavir"
"ZINC000240934419","[H]OC1([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])C1([H])[H]",0.2000,"Tipranavir"
"ZINC000012883511","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c1[H]",0.2152,"Tipranavir"
"ZINC000000387132","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[H])c1[H]",0.2152,"Tipranavir"
"ZINC000000387133","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[H])c1[H]",0.2152,"Tipranavir"
"ZINC000012883027","[H]c1c([H])c(C(F)(F)F)c([H])c(S(=O)(=O)N2[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[H])c1[H]",0.2152,"Tipranavir"
"ZINC000078657674","[H]c1c([H])c([C@]([H])(C([H])([H])[H])S(=O)(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2078,"Tipranavir"
"ZINC000078657678","[H]c1c([H])c([C@@]([H])(C([H])([H])[H])S(=O)(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2078,"Tipranavir"
"ZINC000022229480","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])N([H])C(=O)C(=O)N([H])[H]",0.2088,"Darunavir"
"ZINC000009094912","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H]",0.2021,"Darunavir"
"ZINC000016650620","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])C(=O)N([H])C([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])C1([H])[H]",0.2143,"Darunavir"
"ZINC000031625402","[H]c1c(C(F)(F)F)c([H])n(C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[H])C2([H])[H])c(=O)c1[H]",0.2000,"Tipranavir"
"ZINC000031625403","[H]c1c(C(F)(F)F)c([H])n(C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])[H])C2([H])[H])c(=O)c1[H]",0.2000,"Tipranavir"
"ZINC000004653832","[H]c1nc([H])c(C([H])([H])N2C(=O)N([H])[C@](N([H])C(=O)C3([H])C([H])([H])C3([H])[H])(C(F)(F)F)C2=O)c([H])c1[H]",0.2174,"Saquinavir"
"ZINC000046120923","[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H]",0.2062,"Darunavir"
"ZINC000004622639","[H]c1nc([H])c(C([H])([H])N2C(=O)N([H])[C@@](N([H])C(=O)C3([H])C([H])([H])C3([H])[H])(C(F)(F)F)C2=O)c([H])c1[H]",0.2174,"Saquinavir"
